geoid10,Crm Cd,count,Year
06037101110,210,4,2020
06037101110,230,3,2020
06037101110,236,2,2020
06037101110,251,1,2020
06037101110,310,14,2020
06037101110,320,2,2020
06037101110,330,10,2020
06037101110,331,4,2020
06037101110,341,2,2020
06037101110,354,8,2020
06037101110,420,9,2020
06037101110,438,1,2020
06037101110,440,9,2020
06037101110,442,1,2020
06037101110,510,14,2020
06037101110,624,8,2020
06037101110,625,1,2020
06037101110,626,15,2020
06037101110,740,8,2020
06037101110,745,12,2020
06037101110,761,1,2020
06037101110,860,1,2020
06037101110,888,2,2020
06037101110,900,1,2020
06037101110,901,2,2020
06037101110,903,3,2020
06037101110,930,4,2020
06037101110,956,3,2020
06037101122,210,1,2020
06037101122,230,2,2020
06037101122,310,3,2020
06037101122,330,3,2020
06037101122,331,2,2020
06037101122,354,2,2020
06037101122,420,7,2020
06037101122,440,5,2020
06037101122,510,5,2020
06037101122,624,5,2020
06037101122,626,4,2020
06037101122,648,1,2020
06037101122,664,1,2020
06037101122,740,5,2020
06037101122,745,2,2020
06037101122,753,1,2020
06037101122,761,1,2020
06037101122,900,1,2020
06037101122,901,4,2020
06037101122,903,1,2020
06037101122,930,2,2020
06037101122,940,1,2020
06037101122,946,1,2020
06037101122,956,1,2020
06037101220,121,1,2020
06037101220,210,1,2020
06037101220,230,11,2020
06037101220,237,1,2020
06037101220,310,8,2020
06037101220,330,8,2020
06037101220,331,2,2020
06037101220,341,3,2020
06037101220,343,1,2020
06037101220,420,3,2020
06037101220,437,1,2020
06037101220,440,10,2020
06037101220,480,1,2020
06037101220,510,12,2020
06037101220,624,8,2020
06037101220,626,8,2020
06037101220,649,1,2020
06037101220,662,1,2020
06037101220,664,2,2020
06037101220,740,10,2020
06037101220,745,5,2020
06037101220,753,1,2020
06037101220,761,3,2020
06037101220,888,1,2020
06037101220,900,3,2020
06037101220,903,3,2020
06037101220,930,1,2020
06037101220,940,1,2020
06037101220,946,2,2020
06037101221,210,2,2020
06037101221,230,2,2020
06037101221,310,4,2020
06037101221,330,5,2020
06037101221,331,1,2020
06037101221,354,1,2020
06037101221,420,3,2020
06037101221,440,4,2020
06037101221,510,8,2020
06037101221,624,10,2020
06037101221,626,4,2020
06037101221,740,3,2020
06037101221,745,1,2020
06037101221,810,1,2020
06037101221,860,1,2020
06037101221,900,4,2020
06037101221,901,1,2020
06037101221,903,1,2020
06037101221,940,1,2020
06037101221,946,1,2020
06037101221,956,2,2020
06037101222,121,2,2020
06037101222,210,1,2020
06037101222,230,6,2020
06037101222,236,2,2020
06037101222,237,1,2020
06037101222,251,1,2020
06037101222,310,1,2020
06037101222,320,1,2020
06037101222,330,11,2020
06037101222,331,5,2020
06037101222,341,3,2020
06037101222,354,3,2020
06037101222,420,8,2020
06037101222,440,9,2020
06037101222,510,10,2020
06037101222,624,12,2020
06037101222,626,11,2020
06037101222,627,1,2020
06037101222,740,5,2020
06037101222,745,4,2020
06037101222,761,2,2020
06037101222,762,1,2020
06037101222,850,1,2020
06037101222,888,2,2020
06037101222,900,2,2020
06037101222,903,2,2020
06037101222,930,1,2020
06037101300,121,1,2020
06037101300,210,5,2020
06037101300,230,3,2020
06037101300,231,12,2020
06037101300,236,1,2020
06037101300,310,43,2020
06037101300,320,1,2020
06037101300,330,7,2020
06037101300,331,3,2020
06037101300,341,2,2020
06037101300,354,9,2020
06037101300,420,5,2020
06037101300,440,8,2020
06037101300,441,1,2020
06037101300,442,4,2020
06037101300,480,1,2020
06037101300,487,1,2020
06037101300,510,14,2020
06037101300,623,3,2020
06037101300,624,20,2020
06037101300,625,2,2020
06037101300,626,3,2020
06037101300,627,2,2020
06037101300,662,2,2020
06037101300,664,2,2020
06037101300,740,8,2020
06037101300,745,5,2020
06037101300,761,1,2020
06037101300,888,5,2020
06037101300,900,2,2020
06037101300,901,6,2020
06037101300,903,3,2020
06037101300,930,1,2020
06037101300,932,1,2020
06037101300,940,1,2020
06037101300,946,3,2020
06037101300,956,1,2020
06037101400,210,3,2020
06037101400,230,5,2020
06037101400,236,1,2020
06037101400,310,10,2020
06037101400,320,1,2020
06037101400,330,11,2020
06037101400,331,3,2020
06037101400,341,3,2020
06037101400,354,10,2020
06037101400,420,8,2020
06037101400,439,1,2020
06037101400,440,6,2020
06037101400,487,2,2020
06037101400,510,12,2020
06037101400,624,5,2020
06037101400,626,5,2020
06037101400,648,1,2020
06037101400,649,1,2020
06037101400,664,2,2020
06037101400,740,9,2020
06037101400,745,4,2020
06037101400,761,1,2020
06037101400,820,1,2020
06037101400,888,1,2020
06037101400,900,2,2020
06037101400,901,3,2020
06037101400,902,1,2020
06037101400,930,1,2020
06037101400,946,1,2020
06037101400,956,2,2020
06037102103,236,1,2020
06037102103,310,13,2020
06037102103,330,8,2020
06037102103,331,3,2020
06037102103,341,6,2020
06037102103,354,4,2020
06037102103,420,6,2020
06037102103,440,3,2020
06037102103,480,1,2020
06037102103,510,13,2020
06037102103,624,5,2020
06037102103,625,3,2020
06037102103,626,1,2020
06037102103,662,2,2020
06037102103,740,5,2020
06037102103,745,5,2020
06037102103,763,1,2020
06037102103,850,1,2020
06037102103,888,1,2020
06037102103,930,3,2020
06037102103,956,1,2020
06037102104,121,1,2020
06037102104,210,2,2020
06037102104,236,1,2020
06037102104,251,1,2020
06037102104,310,4,2020
06037102104,330,1,2020
06037102104,331,3,2020
06037102104,354,2,2020
06037102104,420,7,2020
06037102104,440,3,2020
06037102104,510,5,2020
06037102104,623,1,2020
06037102104,624,3,2020
06037102104,626,1,2020
06037102104,649,1,2020
06037102104,740,3,2020
06037102104,745,1,2020
06037102104,753,1,2020
06037102104,761,1,2020
